Pt.	Date	Time	RT/s	R/Omiga	
	307	2018_02_13	17_43_13	3060	107.56764
	308	2018_02_13	17_43_23	3070	107.5685
	309	2018_02_13	17_43_33	3080	107.56905
	310	2018_02_13	17_43_43	3090	107.56961
	311	2018_02_13	17_43_53	3100	107.57002
	312	2018_02_13	17_44_03	3110	107.57073
	313	2018_02_13	17_44_13	3120	107.57146
	314	2018_02_13	17_44_23	3130	107.57237
	315	2018_02_13	17_44_33	3140	107.57272
	316	2018_02_13	17_44_43	3150	107.57346
	317	2018_02_13	17_44_53	3160	107.57375
	318	2018_02_13	17_45_03	3170	107.57466
	319	2018_02_13	17_45_13	3180	107.57557
	320	2018_02_13	17_45_23	3190	107.57607
	321	2018_02_13	17_45_33	3200	107.57651
	322	2018_02_13	17_45_43	3210	107.5769
	323	2018_02_13	17_45_53	3220	107.57737
	324	2018_02_13	17_46_03	3230	107.57825
	325	2018_02_13	17_46_13	3240	107.57866
	326	2018_02_13	17_46_23	3250	107.58013
	327	2018_02_13	17_46_33	3260	107.58068
	328	2018_02_13	17_46_43	3270	107.58083
	329	2018_02_13	17_46_53	3280	107.58133
	330	2018_02_13	17_47_03	3290	107.58201
	331	2018_02_13	17_47_13	3300	107.58277
	332	2018_02_13	17_47_23	3310	107.58377
	333	2018_02_13	17_47_33	3320	107.58394
	334	2018_02_13	17_47_43	3330	107.58435
	335	2018_02_13	17_47_53	3340	107.58547
	336	2018_02_13	17_48_03	3350	107.58547
	337	2018_02_13	17_48_13	3360	107.58612
	338	2018_02_13	17_48_23	3370	107.58635
	339	2018_02_13	17_48_33	3380	107.58688
	340	2018_02_13	17_48_43	3390	107.58782
	341	2018_02_13	17_48_53	3400	107.58788
	342	2018_02_13	17_49_03	3410	107.58829
	343	2018_02_13	17_49_13	3420	107.58882
	344	2018_02_13	17_49_23	3430	107.58897
	345	2018_02_13	17_49_33	3440	107.58946
	346	2018_02_13	17_49_43	3450	107.58985
	347	2018_02_13	17_49_53	3460	107.59005
	348	2018_02_13	17_50_03	3470	107.59055
	349	2018_02_13	17_50_13	3480	107.59123
	350	2018_02_13	17_50_23	3490	107.59111
	351	2018_02_13	17_50_33	3500	107.59167
	352	2018_02_13	17_50_43	3510	107.59223
	353	2018_02_13	17_50_53	3520	107.59246
	354	2018_02_13	17_51_03	3530	107.59258
	355	2018_02_13	17_51_13	3540	107.59287
	356	2018_02_13	17_51_23	3550	107.59284
	357	2018_02_13	17_51_33	3560	107.59355
	358	2018_02_13	17_51_43	3570	107.59422
	359	2018_02_13	17_51_53	3580	107.59399
	360	2018_02_13	17_52_03	3590	107.59472
	361	2018_02_13	17_52_13	3600	107.59469
	362	2018_02_13	17_52_23	3610	107.5954
	363	2018_02_13	17_52_33	3620	107.59584
	364	2018_02_13	17_52_43	3630	107.5966
	365	2018_02_13	17_52_53	3640	107.59654
	366	2018_02_13	17_53_03	3650	107.59663
	367	2018_02_13	17_53_13	3660	107.59698
	368	2018_02_13	17_53_23	3670	107.59772
	369	2018_02_13	17_53_33	3680	107.5981
	370	2018_02_13	17_53_43	3690	107.59866
	371	2018_02_13	17_53_53	3700	107.59895
	372	2018_02_13	17_54_03	3710	107.59913
	373	2018_02_13	17_54_13	3720	107.59989
